code_national_tri,libelle_tri,libelle_bassin_risques,date_arrete_pcb,date_arrete_carte,date_arrete_pcb_local,date_arrete_prefet_parties_prenantes,date_arrete_approbation,date_arrete_national,code_insee,libelle_commune,num_risque,libelle_risque_long
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02173,CHAUNY,140,Inondation
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02173,CHAUNY,180,Par une crue à débordement lent de cours d'eau
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02212,CONDREN,140,Inondation
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02212,CONDREN,180,Par une crue à débordement lent de cours d'eau
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02260,DANIZY,140,Inondation
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02260,DANIZY,180,Par une crue à débordement lent de cours d'eau
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02304,LA FERE,140,Inondation
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02304,LA FERE,180,Par une crue à débordement lent de cours d'eau
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02566,OGNES,140,Inondation
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02566,OGNES,180,Par une crue à débordement lent de cours d'eau
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02719,SINCENY,140,Inondation
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02719,SINCENY,180,Par une crue à débordement lent de cours d'eau
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02738,TERGNIER,140,Inondation
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02738,TERGNIER,180,Par une crue à débordement lent de cours d'eau
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02820,VIRY-NOUREUIL,140,Inondation
80DREAL20130001,CHAUNY-TERGNIER-LA FERE,Bassin versant de l'Oise,27/11/2012,20/12/2013,08/12/2014,,,,02820,VIRY-NOUREUIL,180,Par une crue à débordement lent de cours d'eau
03DREAL20130003,VICHY,Loire Bretagne,26/11/2012,,,,,,03001,ABREST,180,Par une crue à débordement lent de cours d'eau
03DREAL20130001,MOULINS,Loire Bretagne,26/11/2012,,,25/11/2015,,,03013,AVERMES,180,Par une crue à débordement lent de cours d'eau
03DREAL20130003,VICHY,Loire Bretagne,26/11/2012,,,,,,03023,BELLERIVE-SUR-ALLIER,180,Par une crue à débordement lent de cours d'eau
03DREAL20130001,MOULINS,Loire Bretagne,26/11/2012,,,25/11/2015,,,03040,BRESSOLLES,180,Par une crue à débordement lent de cours d'eau
03DREAL20130003,VICHY,Loire Bretagne,26/11/2012,,,,,,03060,CHARMEIL,180,Par une crue à débordement lent de cours d'eau
03DREAL20130003,VICHY,Loire Bretagne,26/11/2012,,,,,,03094,CREUZIER-LE-VIEUX,180,Par une crue à débordement lent de cours d'eau
03DREAL20130003,VICHY,Loire Bretagne,26/11/2012,,,,,,03095,CUSSET,180,Par une crue à débordement lent de cours d'eau
03DREAL20130002,MONTLUCON,Loire Bretagne,26/11/2012,,,,,,03098,DESERTINES,180,Par une crue à débordement lent de cours d'eau
03DREAL20130002,MONTLUCON,Loire Bretagne,26/11/2012,,,,,,03101,DOMERAT,180,Par une crue à débordement lent de cours d'eau
03DREAL20130003,VICHY,Loire Bretagne,26/11/2012,,,,,,03126,HAUTERIVE,180,Par une crue à débordement lent de cours d'eau
03DREAL20130002,MONTLUCON,Loire Bretagne,26/11/2012,,,,,,03140,LAVAULT-SAINTE-ANNE,180,Par une crue à débordement lent de cours d'eau
03DREAL20130002,MONTLUCON,Loire Bretagne,26/11/2012,,,,,,03185,MONTLUCON,180,Par une crue à débordement lent de cours d'eau
03DREAL20130001,MOULINS,Loire Bretagne,26/11/2012,,,25/11/2015,,,03190,MOULINS,180,Par une crue à débordement lent de cours d'eau
03DREAL20130001,MOULINS,Loire Bretagne,26/11/2012,,,25/11/2015,,,03200,NEUVY,180,Par une crue à débordement lent de cours d'eau
03DREAL20130002,MONTLUCON,Loire Bretagne,26/11/2012,,,,,,03262,SAINT-VICTOR,180,Par une crue à débordement lent de cours d'eau
03DREAL20130003,VICHY,Loire Bretagne,26/11/2012,,,,,,03264,SAINT-YORRE,180,Par une crue à débordement lent de cours d'eau
03DREAL20130001,MOULINS,Loire Bretagne,26/11/2012,,,25/11/2015,,,03286,TOULON-SUR-ALLIER,180,Par une crue à débordement lent de cours d'eau
03DREAL20130003,VICHY,Loire Bretagne,26/11/2012,,,,,,03310,VICHY,180,Par une crue à débordement lent de cours d'eau
03DREAL20130001,MOULINS,Loire Bretagne,26/11/2012,,,25/11/2015,,,03321,YZEURE,180,Par une crue à débordement lent de cours d'eau
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06004,ANTIBES,183,Par une crue torrentielle ou à montée rapide de cours d'eau
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06004,ANTIBES,286,Par submersion marine
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06007,AURIBEAU-SUR-SIAGNE,183,Par une crue torrentielle ou à montée rapide de cours d'eau
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06007,AURIBEAU-SUR-SIAGNE,286,Par submersion marine
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06018,BIOT,183,Par une crue torrentielle ou à montée rapide de cours d'eau
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06018,BIOT,286,Par submersion marine
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06021,BONSON,183,Par une crue torrentielle ou à montée rapide de cours d'eau
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06021,BONSON,286,Par submersion marine
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06025,LE BROC,183,Par une crue torrentielle ou à montée rapide de cours d'eau
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06025,LE BROC,286,Par submersion marine
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06027,CAGNES-SUR-MER,183,Par une crue torrentielle ou à montée rapide de cours d'eau
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06027,CAGNES-SUR-MER,286,Par submersion marine
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06029,CANNES,183,Par une crue torrentielle ou à montée rapide de cours d'eau
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06029,CANNES,286,Par submersion marine
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06030,LE CANNET,183,Par une crue torrentielle ou à montée rapide de cours d'eau
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06030,LE CANNET,286,Par submersion marine
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06031,CANTARON,183,Par une crue torrentielle ou à montée rapide de cours d'eau
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06031,CANTARON,286,Par submersion marine
06DREAL20140006,TRI Nice Cannes Mandelieu,,12/12/2012,20/12/2013,,,,,06033,CARROS,183,Par une crue torrentielle ou à montée rapide de cours d'eau
