code_national_tri,libelle_tri,liste_libelle_risque,libelle_bassin_risques,date_arrete_pcb,date_arrete_carte,date_arrete_pcb_local,date_arrete_prefet_parties_prenantes,date_arrete_approbation,date_arrete_national,code_insee,libelle_commune
29DREAL20130003,QUIMPER LITTORAL SUD FINISTERE,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,26/11/2012,18/12/2013,20/02/2015,10/06/2016,24/07/2017,,29216,PLUGUFFAN
29DREAL20210001,QUIMPER LITTORAL SUD FINISTÈRE 2,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,22/10/2018,16/12/2019,,,,,29216,PLUGUFFAN
29DREAL20130003,QUIMPER LITTORAL SUD FINISTERE,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,26/11/2012,18/12/2013,20/02/2015,10/06/2016,24/07/2017,,29220,PONT-L'ABBE
29DREAL20210001,QUIMPER LITTORAL SUD FINISTÈRE 2,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,22/10/2018,16/12/2019,,,,,29220,PONT-L'ABBE
29DREAL20130003,QUIMPER LITTORAL SUD FINISTERE,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,26/11/2012,18/12/2013,20/02/2015,10/06/2016,24/07/2017,,29232,QUIMPER
29DREAL20210001,QUIMPER LITTORAL SUD FINISTÈRE 2,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,22/10/2018,16/12/2019,,,,,29232,QUIMPER
29DREAL20130003,QUIMPER LITTORAL SUD FINISTERE,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,26/11/2012,18/12/2013,20/02/2015,10/06/2016,24/07/2017,,29284,TREFFIAGAT
29DREAL20210001,QUIMPER LITTORAL SUD FINISTÈRE 2,"[{'num_risque': '180', 'libelle_risque_long': ""Par une crue à débordement lent de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,22/10/2018,16/12/2019,,,,,29284,TREFFIAGAT
2ADREAL20150002,TRI AJACCIO,"[{'num_risque': '130', 'libelle_risque_long': 'Par ruissellement et coulée de boue'}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,04/02/2013,17/02/2015,30/03/2015,03/10/2016,15/12/2017,,2A004,AJACCIO
2BDREAL20150001,TRI Grand BASTIA,"[{'num_risque': '130', 'libelle_risque_long': 'Par ruissellement et coulée de boue'}, {'num_risque': '183', 'libelle_risque_long': ""Par une crue torrentielle ou à montée rapide de cours d'eau""}, {'num_risque': '286', 'libelle_risque_long': 'Par submersion marine'}]",,04/02/2013,17/02/2015,30/03/2015,04/05/2015,,,2B033,BASTIA
